,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,new_sum_loans,new_div_loans,exist_NY,grade_cat
21,,,13000,13000,13000, 36 months,14.47,447.29,C,C2,Exhibits director,10+ years,MORTGAGE,55000,Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,611xx,IL,10.58,0,Oct-01,0,,,7,0,13478,82.2,17,w,12415.43,12415.43,878.9,878.9,584.57,294.33,0,0,0,Feb-19,447.29,Mar-19,Feb-19,0,,1,Individual,,,,0,160,34996,0,1,0,0,25.0,400,40.0,0,2,4807,80,16400,0,0,0,4,4999,3024.0,78.2,0,0,122.0,206,14,14,3,14.0,,14.0,,0,3,4,4,6,6,5,8,4,7,0.0,0,0,0,100.0,75.0,0,0,41150,13878,13900,1000,,,,,,,,,,,,N,26000,898.4105044920525,False,2
22,,,9600,9600,9600, 36 months,23.4,373.62,E,E1,driver coordinator ,9 years,RENT,65000,Not Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,265xx,WV,23.01,1,Sep-03,0,16.0,,12,0,10678,37.5,20,f,9223.52,9223.52,728.52,728.52,376.48,352.04,0,0,0,Feb-19,373.62,Mar-19,Feb-19,0,,1,Individual,,,,0,66,24165,0,2,0,0,43.0,13487,33.0,1,1,2264,35,28500,0,0,0,1,2014,232.0,96.9,0,0,183.0,92,12,12,0,27.0,,15.0,30.0,0,7,9,7,8,8,10,12,9,12,0.0,0,0,1,90.0,85.7,0,0,68902,24165,7600,40402,,,,,,,,,,,,N,19200,410.2564102564103,False,4
23,,,3500,3500,3500, 36 months,20.89,131.67,D,D4,gas attendant,10+ years,MORTGAGE,40000,Source Verified,Dec-18,Current,n,,,car,Car financing,078xx,NJ,9.09,0,Oct-04,1,24.0,,4,0,1944,33.5,18,w,3357.29,3357.29,257.25,257.25,142.71,114.54,0,0,0,Feb-19,131.67,Mar-19,Feb-19,0,48.0,1,Joint App,59500.0,10.59,Source Verified,0,0,189794,1,1,1,1,7.0,24958,100.0,2,2,1317,87,5800,1,0,3,3,47449,3683.0,26.3,0,0,150.0,170,1,1,4,8.0,48.0,1.0,48.0,2,1,2,1,8,3,2,11,2,4,0.0,0,0,3,38.9,0.0,0,0,217000,26902,5000,25000,6902.0,May-03,0.0,3.0,6.0,47.9,0.0,21.0,0.0,0.0,46.0,N,7000,167.5442795595979,False,3
24,,,16000,16000,16000, 60 months,26.31,481.99,E,E4,Financial Relationship Associate,< 1 year,RENT,33000,Source Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,290xx,SC,33.62,0,Sep-10,1,,,17,0,22872,65.5,22,w,15734.74,15734.74,928.9,928.9,265.26,663.64,0,0,0,Feb-19,481.99,Mar-19,Feb-19,0,,1,Individual,,,,0,0,29869,1,1,0,1,24.0,6997,65.0,1,1,2703,65,34900,0,3,1,2,1757,4596.0,66.9,0,0,29.0,99,2,2,0,2.0,,3.0,,0,6,11,9,13,2,16,20,11,17,0.0,0,0,1,100.0,55.6,0,0,45709,29869,13900,10809,,,,,,,,,,,,N,32000,608.1337894336755,False,4
25,,,15000,15000,14975, 60 months,14.47,352.69,C,C2,,,MORTGAGE,30000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,756xx,TX,41.6,0,Oct-99,0,,,20,0,20049,37.2,30,f,14654.57,14630.15,687.29,686.14,345.43,341.86,0,0,0,Feb-19,352.69,Mar-19,Feb-19,0,,1,Joint App,55000.0,34.95,Source Verified,0,0,65496,1,1,0,1,16.0,4458,31.0,1,1,3616,36,53900,0,2,0,2,3275,2545.0,74.3,0,0,149.0,230,6,6,1,31.0,,,,0,4,13,4,5,8,18,21,13,20,0.0,0,0,1,100.0,50.0,0,0,118790,24507,9900,14490,29704.0,Oct-99,0.0,0.0,16.0,48.8,0.0,15.0,0.0,0.0,,N,30000,1036.6275051831374,False,2
26,,,13000,13000,13000, 36 months,23.4,505.95,E,E1,Sale Representative,2 years,MORTGAGE,90000,Verified,Dec-18,Current,n,,,other,Other,191xx,PA,39.73,0,May-07,0,,,14,0,52013,83.1,20,w,12490.18,12490.18,986.55,986.55,509.82,476.73,0,0,0,Feb-19,505.95,Mar-19,Feb-19,0,,1,Individual,,,,0,0,87876,1,7,1,3,1.0,35863,48.0,0,1,18037,64,62600,2,0,1,4,6277,9503.0,83.8,0,0,131.0,139,16,1,0,16.0,,10.0,,0,6,7,6,7,11,7,9,7,14,0.0,0,0,1,100.0,66.7,0,0,137276,87876,58600,74676,,,,,,,,,,,,N,26000,555.5555555555555,False,4
27,,,23000,23000,23000, 60 months,20.89,620.81,D,D4,Operator,5 years,RENT,68107,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,672xx,KS,0.52,0,Feb-97,0,,,5,0,976,13.0,10,w,22158.77,22158.77,1201.58,1201.58,841.23,360.35,0,0,0,Feb-19,1241.62,Mar-19,Feb-19,1,,1,Individual,,,,0,2693,976,0,0,0,0,36.0,0,,3,4,0,13,7500,2,2,4,4,195,3300.0,0.0,0,0,237.0,262,10,10,0,10.0,,9.0,,0,0,1,3,4,3,5,7,1,5,0.0,0,0,3,100.0,0.0,0,0,7500,976,3300,0,,,,,,,,,,,,N,46000,1101.0052656773576,False,3
28,,,8000,8000,8000, 36 months,23.4,311.35,E,E1,Manager,10+ years,OWN,43000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,357xx,AL,33.24,0,Jan-95,0,,107.0,8,1,9019,81.3,16,w,7686.27,7686.27,607.1,607.1,313.73,293.37,0,0,0,Feb-19,311.35,Mar-19,Feb-19,0,,1,Individual,,,,0,0,169223,0,3,2,2,7.0,22059,69.0,0,0,2174,72,11100,1,1,1,2,21153,126.0,94.5,0,0,148.0,287,44,7,1,51.0,,7.0,,0,1,4,1,2,8,4,7,4,8,0.0,0,0,2,100.0,100.0,1,0,199744,31078,2300,32206,,,,,,,,,,,,N,16000,341.8803418803419,False,4
29,,,32075,32075,32075, 60 months,11.8,710.26,B,B4,Nursing Supervisor,10+ years,MORTGAGE,150000,Not Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,231xx,VA,22.21,0,Aug-05,0,,,17,0,19077,32.0,24,w,31281.41,31281.41,1388.98,1388.98,793.59,595.39,0,0,0,Feb-19,710.26,Mar-19,Feb-19,0,,1,Individual,,,,0,0,272667,1,4,1,1,9.0,37558,47.0,1,1,3910,41,59600,1,2,0,3,16039,10446.0,47.8,0,0,160.0,70,4,4,2,27.0,,14.0,,0,4,10,4,4,8,12,14,10,17,0.0,0,0,2,100.0,50.0,0,0,360433,56635,20000,80125,,,,,,,,,,,,N,64150,2718.2203389830506,False,1
30,,,12000,12000,12000, 60 months,13.56,276.49,C,C1,,< 1 year,MORTGAGE,40000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,180xx,PA,19.23,0,Aug-05,2,,,8,0,23195,55.5,9,w,11716.63,11716.63,539.42,539.42,283.37,256.05,0,0,0,Feb-19,276.49,Mar-19,Feb-19,0,,1,Individual,,,,0,0,32462,1,1,1,1,4.0,9267,103.0,2,2,9747,64,41800,1,0,3,3,4058,16601.0,54.9,0,0,4.0,149,9,4,1,10.0,,4.0,,0,5,6,5,5,1,7,7,6,8,0.0,0,0,3,100.0,60.0,0,0,50800,32462,36800,9000,,,,,,,,,,,,N,24000,884.9557522123894,False,2
31,,,10000,10000,10000, 60 months,19.92,264.5,D,D3,Material Handler,10+ years,MORTGAGE,80000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,648xx,MO,20.67,0,Apr-05,0,37.0,,11,0,13198,73.7,19,w,9801.36,9801.36,512.4,512.4,198.64,313.76,0,0,0,Feb-19,264.5,Mar-19,Feb-19,0,37.0,1,Individual,,,,0,116,110120,0,2,0,1,15.0,24408,70.0,1,1,6521,72,17900,0,0,1,2,10011,779.0,90.3,0,0,148.0,164,11,11,1,149.0,37.0,11.0,37.0,0,2,8,2,4,6,8,12,8,11,0.0,0,0,1,84.2,50.0,0,0,170230,37606,8000,55030,,,,,,,,,,,,N,20000,502.008032128514,False,3
